time,price
20210105,8639
20210104,8285
20210103,8053
20210102,7830
20201230,7670
20201229,7460
20201228,7467
20201227,7692
20201226,7863
20201223,7639
20201222,7639
20201221,7575
20201220,7803
20201219,7987
20201216,8199
20201215,8630
20201214,8749
20201213,8965
20201212,9221
20201209,9344
20201208,9094
20201207,9302
20201206,9075
20201205,9306
20201202,9593
20201201,9690
20201130,9478
20201129,9747
20201128,10042
20201125,10379
20201124,10393
20201123,10497
20201122,10514
20201121,10556
20201118,10571
20201117,10583
20201116,10600
20201115,10624
20201114,10732
20201111,10835
20201110,10838
20201109,10914
20201108,10917
20201107,10922
20201104,10924
20201102,10967
20201101,10972
20201031,10975
20201028,10982
20201027,11076
20201026,11086
20201024,11089
20201021,11107
20201020,11152
20201019,11165
20201018,11170
20201014,11180
20201013,11233
20201012,11273
20201011,11315
20201010,11492
20201007,11624
20201006,11624
20201005,11624
20201004,11730
20201003,11791
20200930,11852
20200929,11861
20200928,11910
20200927,11911
20200926,11929
20200923,11939
20200922,11988
20200921,12002
20200920,12064
20200919,12083
20200916,12152
20200915,12206
20200914,12295
20200913,12357
20200912,12433
20200909,12510
20200908,12579
20200907,12671
20200906,12682
20200905,12682
20200902,12682
20200901,12682
20200831,12682
20200826,12682
20200825,12682
20200824,13074
20200823,13167
20200822,13276
20200819,13887
20200818,14302
20200817,14744
20200816,15199
20200815,15669
20200812,15669
20200811,15669
20200810,15303
20200809,14881
20200805,14853
20200804,14161
20200803,13749
20200802,13349
20200801,12961
20200729,12344
20200728,11985
20200727,11636
20200726,11308
20200725,10990
20200722,10990
20200721,10990
20200720,11298
20200719,11067
20200718,11351
20200715,11199
20200714,11529
20200713,11470
20200712,11470
20200711,11470
20200708,11426
20200707,11457
20200706,11135
20200705,10811
20200704,10602
20200701,10655
20200630,10905
20200629,10990
20200628,11329
20200627,10889
20200624,10889
20200623,11225
20200622,11103
20200621,11271
20200620,10862
20200616,10546
20200615,10239
20200614,9941
20200613,9470
20200610,9195
20200609,8928
20200608,8993
20200607,9219
20200606,8953
20200602,8712
20200601,8838
20200531,9066
20200530,9181
20200527,8770
20200526,9023
20200523,9302
20200520,9553
20200519,9367
20200518,9511
20200517,10041
20200516,10041
20200513,10351
20200512,10658
20200511,10630
20200510,10060
20200509,10060
20200506,10060
20200505,10060
20200504,10060
20200503,9796
20200502,9511
20200429,9234
20200428,8795
20200427,8541
20200426,8293
20200425,8052
20200422,7669
20200421,7446
20200420,7287
20200419,7075
20200418,7075
20200415,7075
20200414,7075
20200413,7006
20200412,7190
20200411,7273
20200408,7082
20200407,6880
20200406,6948
20200405,6992
20200404,6790
20200330,6731
20200329,6929
20200328,6730
20200325,6534
20200324,6344
20200318,6181
20200317,6336
20200316,6509
20200315,6583
20200314,6786
20200311,7148
20200310,7416
20200309,7645
20200307,7881
20200304,8047
20200303,7673
20200302,7450
20200301,7234
20200229,7049
20200226,7132
20200225,6960
20200224,6758
20200223,6562
20200222,6562
20200219,6509
20200218,6321
20200217,6197
20200216,6026
20200215,5869
20200212,6029
20200210,6016
20200209,5992
20200208,5818
20200205,5761
20200204,5910
20200203,6035
20200202,5895
20200201,6002
20200128,6187
20200127,6148
20200126,5977
20200125,5803
20200122,5634
20200121,5634
20200120,5634
20200119,5634
20200118,5634
20200115,5634
20200114,5634
20200113,5634
20200112,5634
20200111,5634
20200108,5634
20200107,5634
20200105,5634
20200104,5634
20200101,5634
20191231,5634
20191230,5634
20191229,5634
20191228,5634
20191225,5634
20191224,5470
20191223,5336
20191222,5295
20191221,5161
20191218,5012
20191217,4813
20191216,4937
20191215,5047
20191214,5127
20191211,5250
20191210,5367
20191209,5264
20191208,5111
20191207,5247
20191204,5347
20191203,5350
20191202,4260
20191201,4260
20191130,4260
20191127,4260
20191126,4260
20191125,4260
20191124,4260
20191123,4260
20191120,4260
20191119,4260
20191118,4260
20191117,4260
20191116,4260
20191113,4138
20191112,4033
20191111,4124
20191110,4141
20191109,4032
20191105,3915
20191104,3801
20191103,3586
20191102,3482
20191030,3382
20191028,3192
20191026,3192
20191023,3192
20191022,3120
20191021,3192
20191020,3290
20191016,3463
20191015,3570
20191014,3680
20191013,3793
20191012,3887
20191009,3995
20191008,4117
20191007,4209
20191006,4154
20191005,4107
20191002,4007
20191001,4104
20190930,3889
20190929,3889
20190928,3898
20190925,4018
20190924,4234
20190923,4234
20190922,4234
20190921,4234
20190918,4234
20190917,4234
20190916,4364
20190915,4642
20190914,4642
20190911,4642
20190908,4642
20190907,4642
20190904,4642
20190903,4785
20190902,4932
20190901,5084
20190831,5241
20190828,5823
20190827,6470
20190826,6092
20190825,5548
20190824,5280
20190821,4841
20190819,4428
20190818,4150
20190817,4490
20190814,4539
20190813,4367
20190811,4387
20190810,3948
20190807,3948
20190806,3752
20190805,3444
20190804,3131
20190803,2667
20190731,2667
20190730,2565
20190729,2605
20190728,2582
20190727,2537
20190724,2671
20190723,2589
20190722,2551
20190721,2551
20190720,2551
20190717,2551
20190716,2551
20190715,2551
20190714,2721
20190713,2577
20190710,2406
20190709,2337
20190708,2467
20190707,2441
20190706,2365
20190703,2485
20190702,2582
20190701,2532
20190630,2509
20190626,2488
20190625,2640
20190624,2411
20190623,2411
20190622,2203
20190619,2086
20190618,2206
20190617,2261
20190616,2385
20190615,2316
20190612,2492
20190611,2543
20190610,2704
20190609,2755
20190608,2517
20190603,2517
20190602,2517
20190601,2517
20190529,2517
20190528,2517
20190526,2517
20190525,2400
20190522,2503
20190521,2635
20190520,2499
20190519,2708
20190518,2810
20190515,2767
20190514,2749
20190513,2524
20190512,2397
20190511,2636
20190508,2624
20190507,2915
20190506,2915
20190505,2915
20190504,2715
20190501,2481
20190430,2338
20190429,2335
20190428,2160
